product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,calories_per_ml,sugar_to_calorie_ratio,Beverage_Category
Espresso Frappuccino Blended,grande,Coconut,0,473,220,1.5,1.5,0.0,0,200,50,0,48,165,0.46511627906976744,0.21818181818181817,Frappuccino
Espresso Frappuccino Blended,venti,Nonfat,0,709,280,0.1,0.1,0.0,0,270,65,0,63,185,0.39492242595204513,0.225,Frappuccino
Espresso Frappuccino Blended,venti,2%,0,709,300,2.5,1.0,0.1,10,280,65,0,63,185,0.4231311706629055,0.21,Frappuccino
Espresso Frappuccino Blended,venti,Whole,0,709,310,4.0,2.0,0.1,10,270,65,0,63,185,0.43723554301833567,0.2032258064516129,Frappuccino
Espresso Frappuccino Blended,venti,Soy,0,709,290,2.0,0.3,0.0,0,270,63,1,60,165,0.4090267983074753,0.20689655172413793,Frappuccino
Espresso Frappuccino Blended,venti,Coconut,0,709,280,2.5,2.5,0.0,0,270,64,0,62,165,0.39492242595204513,0.22142857142857142,Frappuccino
Java Chip Frappuccino Blended,tall,Nonfat,0,354,230,3.0,2.0,0.0,0,180,47,2,44,75,0.6497175141242938,0.19130434782608696,Frappuccino
Java Chip Frappuccino Blended,tall,Nonfat,1,354,230,11.0,7.0,0.3,30,190,51,2,47,75,0.6497175141242938,0.20434782608695654,Frappuccino
Java Chip Frappuccino Blended,tall,2%,0,354,240,4.5,3.0,0.1,5,180,47,2,44,75,0.6779661016949152,0.18333333333333332,Frappuccino
Java Chip Frappuccino Blended,tall,2%,1,354,330,12.0,8.0,0.3,35,190,51,2,47,75,0.9322033898305084,0.14242424242424243,Frappuccino
Java Chip Frappuccino Blended,tall,Whole,0,354,250,5.0,3.5,0.1,10,180,47,2,44,75,0.7062146892655368,0.176,Frappuccino
Java Chip Frappuccino Blended,tall,Whole,1,354,340,13.0,9.0,0.3,35,190,51,2,47,75,0.96045197740113,0.13823529411764707,Frappuccino
Java Chip Frappuccino Blended,tall,Soy,0,354,230,4.0,2.5,0.0,0,180,46,2,42,75,0.6497175141242938,0.1826086956521739,Frappuccino
Java Chip Frappuccino Blended,tall,Soy,1,354,320,12.0,7.0,0.3,30,180,50,2,45,75,0.903954802259887,0.140625,Frappuccino
Java Chip Frappuccino Blended,tall,Coconut,0,354,230,4.5,3.5,0.0,0,180,46,2,43,75,0.6497175141242938,0.18695652173913044,Frappuccino
Java Chip Frappuccino Blended,tall,Coconut,1,354,320,13.0,9.0,0.3,30,180,50,2,46,75,0.903954802259887,0.14375,Frappuccino
Java Chip Frappuccino Blended,grande,Nonfat,0,473,320,4.0,3.0,0.0,0,250,68,2,63,110,0.6765327695560254,0.196875,Frappuccino
Java Chip Frappuccino Blended,grande,Nonfat,1,473,440,15.0,10.0,0.4,45,260,72,2,67,110,0.9302325581395349,0.15227272727272728,Frappuccino
Java Chip Frappuccino Blended,grande,2%,0,473,340,6.0,4.5,0.1,10,260,58,2,63,110,0.718816067653277,0.18529411764705883,Frappuccino
Java Chip Frappuccino Blended,grande,2%,1,473,460,17.0,11.0,0.4,50,270,72,2,66,110,0.9725158562367865,0.14347826086956522,Frappuccino
Java Chip Frappuccino Blended,grande,Whole,0,473,350,7.0,5.0,0.1,10,250,68,2,63,110,0.7399577167019028,0.18,Frappuccino
